品牌,车龄,里程,城市,认证,售价,原价
宝马4系 2016款 420i Gran Coupe M运动型,4年6个月 , 1.75万公里 , 北京,无认证,29.80万,新车含税价: 48.80万
别克GL8 2013款 2.4L 经典版,5年1个月 , 6.80万公里 , 北京,无认证,11.30万,新车含税价: 20.90万
奔驰S级 2017款 S 320 L 豪华型,4年8个月 , 7.63万公里 , 北京,无认证,72.10万,新车含税价: 110.80万
雷克萨斯IS 2011款 250C,10年10个月 , 9万公里 , 北京,无认证,28.80万,新车含税价: 64.50万
普拉多 2016款 3.5L 自动TX-L NAVI,5年9个月 , 15万公里 , 北京,无认证,38.50万,新车含税价: 55.13万
奥迪Q7 2018款 40 TFSI S line运动型,3年 , 2.90万公里 , 北京,无认证,51.80万,新车含税价: 73.28万
奥迪Q7 2016款 45 TFSI 技术型,3年11个月 , 6.20万公里 , 北京,无认证,49.88万,新车含税价: 84.78万
Panamera 2014款 Panamera 3.0T,6年7个月 , 8万公里 , 北京,无认证,64.80万,新车含税价: 114.50万
宝马3系 2017款 320Li 时尚型,2年8个月 , 1.96万公里 , 北京,无认证,25.30万,新车含税价: 32.59万
宝马X5 2017款 xDrive28i,3年8个月 , 3.60万公里 , 北京,无认证,53.10万,新车含税价: 75.80万
揽胜运动版 2014款 3.0 V6 SC HSE DYNAMIC,7年6个月 , 14.80万公里 , 北京,无认证,46.80万,新车含税价: 109.80万
奥迪S3 2015款 S3 2.0T Limousine,4年9个月 , 8万公里 , 北京,无认证,25.50万,新车含税价: 39.98万
普拉多 2006款 4.0L 自动VX NAVI版,12年1个月 , 17万公里 , 北京,无认证,27.50万,新车含税价: 63.00万
普拉多 2016款 2.7L 自动标准版,5年7个月 , 8万公里 , 北京,无认证,34.90万,新车含税价: 38.98万
宝马5系 2019款 530Li 领先型 豪华套装,2年5个月 , 2.60万公里 , 北京,无认证,41.80万,新车含税价: 46.39万
锐界 2015款 2.0T GTDi 两驱精锐型,5年5个月 , 10万公里 , 北京,无认证,13.80万,新车含税价: 24.98万
奔驰E级 2017款 E 200 L 运动型 4MATIC,4年4个月 , 2.46万公里 , 北京,无认证,36.90万,新车含税价: 45.98万
奔驰E级 2017款 E 200 L 4MATIC,4年4个月 , 3.50万公里 , 北京,无认证,36.90万,新车含税价: 45.98万
奔驰V级 2016款 V 260 L 尊贵加长版,5年4个月 , 8万公里 , 北京,无认证,39.80万,新车含税价: 61.80万
Sienna 2015款 3.5L 四驱L,4年5个月 , 5万公里 , 北京,无认证,39.80万,新车含税价: 52.00万
凯迪拉克ATS-L 2018款 28T 时尚型,1年11个月 , 4.30万公里 , 北京,无认证,18.80万,新车含税价: 29.38万
揽胜 2019款 3.0 V6 SC 传世加长版,1年4个月 , 5万公里 , 北京,无认证,148.50万,新车含税价: 157.30万
宝马X5 2019款 xDrive40i 尊享型M运动套装,2年9个月 , 4.30万公里 , 北京,无认证,77.80万,新车含税价: 84.99万
宝马M2 2018款 M2,3年 , 3.45万公里 , 北京,无认证,55.90万,新车含税价: 59.98万
奔驰V级 2018款 V 260 AMG 运动版,1年10个月 , 6.30万公里 , 北京,无认证,51.00万,新车含税价: 65.18万
沃尔沃XC60(进口) 2015款 T5 智逸版,6年11个月 , 7.80万公里 , 北京,无认证,13.50万,新车含税价: 41.49万
捷豹XF 2015款 XF 2.0T 风华版,7年 , 13万公里 , 北京,无认证,15.00万,新车含税价: 55.00万
神行者2 2012款 2.0T Si4 HSE汽油版,8年10个月 , 10.08万公里 , 北京,无认证,14.20万,新车含税价: 59.80万
沃尔沃S60 2015款 S60L T5 智驭版,6年3个月 , 6万公里 , 北京,无认证,12.50万,新车含税价: 34.09万
宝马7系 2013款 730Li 领先型,8年4个月 , 9万公里 , 北京,无认证,26.80万,新车含税价: 93.35万
别克GL8 2011款 3.0L GT豪华商务豪雅版,8年10个月 , 9万公里 , 北京,无认证,12.80万,新车含税价: 36.80万
迈特威 2012款 2.0TSI 两驱豪华版,7年 , 12万公里 , 北京,无认证,17.80万,新车含税价: 49.98万
奥迪A8 2016款 A8L 45 TFSI quattro豪华型,5年5个月 , 8万公里 , 北京,无认证,45.00万,新车含税价: 102.20万
奥迪A6L 2012款 35 FSI 舒适型,7年10个月 , 12万公里 , 北京,无认证,21.00万,新车含税价: 55.16万
宝马2系 2018款 220i 运动设计套装,2年11个月 , 1.80万公里 , 北京,无认证,16.80万,新车含税价: 24.98万
英菲尼迪Q70 2013款 Q70L 2.5L 雅致版,6年9个月 , 6万公里 , 北京,无认证,19.50万,新车含税价: 44.88万
大切诺基(进口) 2013款 3.6L 旗舰尊崇版,7年2个月 , 15万公里 , 北京,无认证,22.80万,新车含税价: 71.99万
途锐 2017款 3.0TSI 拓野型,4年2个月 , 6.70万公里 , 北京,无认证,39.50万,新车含税价: 71.88万
奔驰GL级 2006款 GL 450 4MATIC,13年3个月 , 14万公里 , 北京,无认证,18.00万,新车含税价: 147.80万
帕萨特 2016款 330TSI DSG尊荣版,4年7个月 , 5万公里 , 北京,无认证,13.30万,新车含税价: 22.29万
宝马X5 2008款 xDrive48i豪华型,12年1个月 , 13.80万公里 , 北京,无认证,18.80万,新车含税价: 173.60万
奥迪A4L 2017款 45 TFSI quattro 运动型,4年7个月 , 5.90万公里 , 北京,无认证,26.80万,新车含税价: 41.28万
捷豹XJ 2014款 XJL 3.0 SC 四驱全景商务版,7年2个月 , 11万公里 , 北京,无认证,30.80万,新车含税价: 108.80万
途锐 2017款 3.0TSI 驭岳型,4年2个月 , 6万公里 , 北京,无认证,39.60万,新车含税价: 78.48万
Macan 2014款 Macan 2.0T,7年 , 6万公里 , 北京,无认证,33.50万,新车含税价: 55.80万
MINI COUNTRYMAN 2017款 1.5T COOPER ALL4,2年10个月 , 1万公里 , 北京,无认证,22.50万,新车含税价: 27.38万
Macan 2017款 Macan S 3.0T,5年 , 6万公里 , 北京,无认证,43.80万,新车含税价: 64.80万
