표준 성분명,표준 영문명
2-아미노메틸-p-아미노페놀에이치씨엘,2-Aminomethyl-p-Aminophenol HCl
2-벤질헵탄올,2-Benzylheptanol
"2-브로모-2-나이트로프로판-1,3-디올","2-Bromo-2-Nitropropane-1,3-Diol"
2-카프로일카프로일메틸알라니네이트,2-Caproyl Caproyl Methyl Alaninate
2-카프릴로일카프릴로일메틸알라니네이트,2-Capryloyl Capryloyl Methyl Alaninate
2-클로로-5-나이트로-N-하이드록시에틸p-페닐렌다이아민,2-Chloro-5-Nitro-N-Hydroxyethyl p-Phenylenediamine
2-클로로-p-페닐렌다이아민,2-Chloro-p-Phenylenediamine
황산o-클로로-p-페닐렌디아민,2-Chloro-p-Phenylenediamine Sulfate
2-에틸헥실알,2-Ethylhexylal
2-헵틸사이클로펜타논,2-Heptylcyclopentanone
2-메톡시-p-페닐렌다이아민설페이트,2-Methoxy-p-Phenylenediamine Sulfate
2-메틸5-사이클로헥실펜탄올,2-Methyl 5-Cyclohexylpentanol
2-메틸5-페닐펜탄올,2-Methyl 5-Phenylpentanol
2-메틸-1-나프톨,2-Methyl-1-Naphthol
2-메틸-4-하이드록시피롤리딘,2-Methyl-4-Hydroxypyrrolidine
2-메칠-5-하이드록시에칠아미노페놀,2-Methyl-5-Hydroxyethylaminophenol
2-메틸프로판알,2-Methylpropanal
2-메틸레조시놀,2-Methylresorcinol
2-나이트로-5-글리세릴메틸아닐린,2-Nitro-5-Glyceryl Methylaniline
니트로-p-페닐렌디아민,2-Nitro-p-Phenylenediamine
2-나이트로-p-페닐렌다이아민다이하이드로클로라이드,2-Nitro-p-Phenylenediamine Dihydrochloride
2-나이트로-p-페닐렌다이아민설페이트,2-Nitro-p-Phenylenediamine Sulfate
2-O-에틸아스코빅애씨드,2-O-Ethyl Ascorbic Acid
"2-올레아미도-1,3,4-옥타데카트라이일프롤리네이트","2-Oleamido-1,3,4-Octadecatriyl Prolinate"
"2-올레아미도-1,3-옥타데칸다이올","2-Oleamido-1,3-Octadecanediol"
2-프로필-5-사이클로헥실펜탄올,2-Propyl-5-Cyclohexylpentanol
2-t-부틸사이클로헥실아세테이트,2-t-Butylcyclohexyl Acetate
2-t-부틸사이클로헥실옥시부탄올,2-t-Butylcyclohexyloxybutanol
"3,4-다이하이드록시벤조익애씨드","3,4-Dihydroxybenzoic Acid"
"3,4-다이하이드록시벤조일다이펩타이드-49아마이드","3,4-Dihydroxybenzoyl Dipeptide-49 Amide"
"3,9-디페룰로일-6-옥소프테로카펜","3,9-Diferuloyl-6-Oxopterocarpen"
"3-아미노-2,4-다이클로로페놀에치치씨엘","3-Amino-2,4-Dichlorophenol HCl"
3-아미노프로판설포닉애씨드,3-Aminopropane Sulfonic Acid
3-아스코빌카보닐다이펩타이드-17,3-Ascorbyl Carbonyl Dipeptide-17
3-벤질리덴캠퍼,3-Benzylidene Camphor
3-에틸아미노-p-크레솔설페이트,3-Ethylamino-p-Cresol Sulfate
3-글리세릴아스코베이트,3-Glyceryl Ascorbate
3-헥센올,3-Hexenol
3-하이드록시벤조익애씨드,3-Hydroxybenzoic Acid
3-라우릴글리세릴아스코베이트,3-Laurylglyceryl Ascorbate
3-메톡시부탄올,3-Methoxybutanol
3-O-세틸아스코빅애씨드,3-O-Cetyl Ascorbic Acid
3-O-에틸아스코빅애씨드,3-O-Ethyl Ascorbic Acid
4-(2-베타-글루코피라노실록시)프로폭시-2-하이드록시벤조페 논,4-(2-Beta-Glucopyranosiloxy) Propoxy-2- Hydroxybenzophenone
"4,4'-아이소프로필리덴다이페놀/에피클로로하이드린코폴리머","4,4'-Isopropylidenediphenol/Epichlorohydrin Copolymer"
"4,4'-아이소프로필리덴다이페닐/에피클로로하이드린코폴리머 다이아크릴레이트","4,4'-Isopropylidenediphenyl/Epichlorohydrin Copolymer Diacrylate"
4-아미노-2-하이드록시톨루엔,4-Amino-2-Hydroxytoluene
황산5-아미노-o-크레솔,4-Amino-2-Hydroxytoluene Sulfate
4-아미노-2-나이트로다이페닐아민-2'-카복실릭애씨드,4-Amino-2-Nitrodiphenylamine-2'-Carboxylic Acid
4-아미노-3-하이드록시부티릭애씨드,4-Amino-3-Hydroxybutyric Acid
4-아미노-m-크레솔,4-Amino-m-cresol
4-부틸레조시놀,4-Butylresorcinol
4-클로로레조시놀,4-Chlororesorcinol
4-플루오로-6-메틸-m-페닐렌다이아민설페이트,4-Fluoro-6-Methyl-m-Phenylenediamine Sulfate
"4-하이드록시-1,3-벤조자티올-2-온","4-Hydroxy-1,3-Benzoxathiol-2-one"
4-하이드록시벤조익애씨드,4-Hydroxybenzoic Acid
4-하이드록시프로필아미노-3-나이트로페놀,4-Hydroxypropylamino-3-Nitrophenol
4-아이소부틸레조시놀,4-Isobutylresorcinol
4-메틸벤즈알데하이드,4-Methylbenzaldehyde
"4-메틸벤질4,5-다이아미노피라졸설페이트","4-Methylbenzyl 4,5-Diamino Pyrazole Sulfate"
4-메칠벤질리덴캠퍼,4-Methylbenzylidene Camphor
p-니트로-o-페닐렌디아민,4-Nitro-o-Phenylenediamine
4-나이트로-o-페닐렌다이아민다이하이드로클로라이드,4-Nitro-o-Phenylenediamine Dihydrochloride
4-나이트로-o-페닐렌다이아민에이치씨엘,4-Nitro-o-Phenylenediamine HCl
황산p-니트로-o-페닐렌디아민,4-Nitro-o-Phenylenediamine Sulfate
4-t-부틸벤즈알데하이드,4-t-Butyl Benzaldehyde
4-t-부틸벤조익애씨드,4-t-Butylbenzoic Acid
4-t-부틸사이클로헥산올,4-t-Butylcyclohexanol
4-터피네올,4-Terpineol
5-아미노-4-클로로-o-크레솔,5-Amino-4-Chloro-o-Cresol
5-아미노-4-클로로-o-크레솔에이치씨엘,5-Amino-4-Chloro-o-Cresol HCl
5-아미노-6-클로로-o-크레솔,5-Amino-6-Chloro-o-Cresol
"5-브로모-5-나이트로-1,3-디옥산","5-Bromo-5-Nitro-1,3-Dioxane"
5-메틸-알파-아이오논,5-METHYL-ALPHA-IONONE
6-아미노-m-크레솔,6-Amino-m-Cresol
6-히드록시인돌,6-Hydroxyindole
6-메톡시-2-메틸아미노-3-아미노피리딘에이치씨엘,6-Methoxy-2-methylamino-3-aminopyridine HCL
7-데하이드로콜레스테롤,7-Dehydrocholesterol
7-디하이드로콜레스테릴팔미테이트,7-Dehydrocholesteryl Palmitate
7-에틸바이사이클로옥사졸리딘,7-Ethylbicyclooxazolidine
전복추출물,Abalone extract
전복껍데기가루,Abalone Shell Powder
미선나무추출물,Abeliophyllum Distichum Extract
닥풀꽃추출물,Abelmoschus Manihot Flower Extract
닥풀꽃수,Abelmoschus Manihot Flower Water
닥풀뿌리추출물,Abelmoschus Manihot Root Extract
흰전나무추출물,Abies Alba Extract
흰전나무잎오일,Abies Alba Leaf Oil
흰전나무잎왁스,Abies Alba Leaf Wax
흰전나무잎추출물,Abies Alba Needle Extract
흰전나무씨추출물,Abies Alba Seed Extract
흰전나무씨오일,Abies Alba Seed Oil
카나다발삼잎추출물,Abies Balsamea (Balsam Canada)  Needle Extract
카나다발삼나무껍질오일,Abies Balsamea (Balsam Canada) Bark Oil
카나다발삼추출물,Abies Balsamea (Balsam Canada) Extract
카나다발삼잎오일,Abies Balsamea (Balsam Canada) Needle Oil
카나다발삼수지,Abies Balsamea (Balsam Canada) Resin
은청전나무가지/잎/목부오일,Abies Concolor Branch/Leaf/Wood Oil
그란디스전나무오일,Abies Grandis Oil
일본산전나무잎추출물,Abies Homolepis Leaf Extract
구상나무잎추출물,Abies Koreana Leaf Extract
구상나무잎가루,Abies Koreana Leaf Powder
펙티나타전나무잎추출물,Abies Pectinata Leaf Extract
펙티나타전나무잎오일,Abies Pectinata Needle Oil
펙티나타전나무오일,Abies Pectinata Oil
아비에스 사카리넨시스잎추출물,Abies Sachalinensis Leaf Extract
분비나무잎추출물,Abies Sibirica Needle Extract
분비나무오일,Abies Sibirica Oil
아비에스 스펙타빌리스가지/잎오일,Abies Spectabilis Branch/Leaf Oil
아비에틱애씨드,Abietic Acid
아비에토일다이펩타이드-22,Abietoyl Dipeptide-22
아비에틸알코올,Abietyl Alcohol
데저트샌드버베나잎추출물,Abronia Villosa Leaf Extract
아브루스 프루티쿨로수스잎추출물,Abrus Fruticulosus Leaf Extract
아브루스 프루티쿨로수스뿌리추출물,Abrus Fruticulosus Root Extract
홍두분열조직세포배양추출물,Abrus Precatorius Meristem Cell Culture Extract
홍두뿌리추출물,Abrus Precatorius Root Extract
아카시아 아라비카나무껍질가루,Acacia Arabica Bark Powder
아카시아 아라비카나무껍질추출물,Acacia Arabica Stem Bark Extract
카테츄껍질가루,Acacia Catechu Bark Powder
카테츄카테킨,Acacia Catechu Catechins
카테츄검,Acacia Catechu Gum
카테츄잎/목부가루,Acacia Catechu Leaf/Wood Powder
카테츄씨추출물,Acacia Catechu Seed Extract
카테츄씨가루,Acacia Catechu Seed Powder
카테츄목부추출물,Acacia Catechu Wood Extract
시카카이열매추출물,Acacia Concinna Fruit Extract
시카카이열매가루,Acacia Concinna Fruit Powder
미모사아카시아꽃추출물,Acacia Dealbata Flower Extract
미모사아카시아꽃왁스,Acacia Dealbata Flower Wax
미모사아카시아꽃/줄기추출물,Acacia Dealbata Flower/Stem Extract
미모사아카시아잎추출물,Acacia Dealbata Leaf Extract
미모사아카시아씨추출물,Acacia Dealbata Seed Extract
그린와틀추출물,Acacia Decurrens Extract
그린와틀꽃추출물,Acacia Decurrens Flower Extract
그린와틀꽃왁스,Acacia Decurrens Flower Wax
그린와틀/호호바/해바라기씨왁스폴리글리세릴-3에스터,Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters
스위트아카시아추출물,Acacia Farnesiana Extract
스위트아카시아꽃추출물,Acacia Farnesiana Flower Extract
스위트아카시아꽃왁스,Acacia Farnesiana Flower Wax
스위트아카시아꽃/줄기추출물,Acacia Farnesiana Flower/Stem Extract
스위트아카시아검,Acacia Farnesiana Gum
스위트아카시아줄기껍질추출물,Acacia Farnesiana Stem Bark Extract
블랙와틀껍칠추출물,Acacia Mearnsii Bark Extract
블루리프와틀잎추출물,Acacia Saligna Leaf Extract
아라비아고무나무꽃/줄기추출물,Acacia Senegal Flower/Stem Extract
아라비아고무나무검,Acacia Senegal Gum
아라비아고무나무검추출물,Acacia Senegal Gum Extract
시팀우드검,Acacia Seyal Gum
시팀우드검추출물,Acacia Seyal Gum Extract
시팀우드검옥테닐석시네이트,Acacia Seyal Gum Octenylsuccinate
브램블아카시아열매추출물,Acacia Victoriae Fruit Extract
브램블아카시아씨추출물,Acacia Victoriae Seed Extract
아칼리파 렙탄스캘러스배양추출물,Acalypha Reptans Callus Culture Extract
세주오가뿌리껍질/인동덩굴꽃/(우엉/순비기나무열매)/황기뿌 리/무씨/육계나무/보리추출물,"Acanthopanax Gracilistylus Root Bark/Honeysuckle
Flower/(Arctium Lappa/Vitex Trifolia Fruit)/Astragalus Membranaceus Root/Radish Seed/Cinnamomum
Cassia/Hordeum Vulgare Extract"
