표준 성분명,표준 영문명
밤나무꽃추출물,Castanea Crenata (Chestnut) Flower Extract
밤보늬추출물,Castanea Crenata (Chestnut) Pellicle Extract
밤껍질추출물,Castanea Crenata (Chestnut) Shell Extract
밤껍질가루,Castanea Crenata (Chestnut) Shell Powder
유럽밤나무껍질추출물,Castanea Sativa (Chestnut) Bark Extract
유럽밤나무꽃추출물,Castanea Sativa (Chestnut) Flower Extract
유럽밤나무잎추출물,Castanea Sativa (Chestnut) Leaf Extract
유럽밤나무과피추출물,Castanea Sativa (Chestnut) Pericarp Extract
유럽밤나무씨추출물,Castanea Sativa (Chestnut) Seed Extract
유럽밤껍질추출물,Castanea Sativa (Chestnut) Shell Extract
모밀잣밤나무껍질추출물,Castanopsis Cuspidata Bark Extract
모밀잣밤나무줄기추출물,Castanopsis Cuspidata Stem Extract
캐스터아이소스테아레이트비즈왁스석시네이트,Castor Isostearate Beeswax Succinate
캐스터아이소스테아레이트석시네이트,Castor Isostearate Succinate
캐스터오일벤조에이트,Castor Oil Benzoate
캐스터오일비스-하이드록시프로필다이메티콘에스터,Castor Oil Bis-Hydroxypropyl Dimethicone Esters
캐스터오일포스페이트,Castor Oil Phosphate
캐스터오일/아이피디아이코폴리머,Castor Oil/IPDI Copolymer
캐스토릴말리에이트,Castoryl Maleate
드루핑쉬오크가지/잎추출물,Casuarina Stricta Branch/Leaf Extract
드룹핑쉬오크잎추출물,Casuarina Stricta Leaf Extract
꽃개오동잎추출물,Catalpa Bignonioides Leaf Extract
개오동나무껍질/잎추출물,Catalpa Ovata Bark/Leaf Extract
개오동열매추출물,Catalpa Ovata Fruit Extract
카테콜,Catechol
카틀레야추출물,Cattleya Extract
바다포도추출물,Caulerpa Lentillifera Extract
옥덩굴추출물,Caulerpa Okamurae Extract
카울레르파 라케모사추출물,Caulerpa Racemosa Extract
카울레르파 탁시폴리아추출물,Caulerpa Taxifolia Extract
캐비아추출물,Caviar Extract
캐비어오일,Caviar Oil
캐비어수,Caviar Water
타유야뿌리추출물,Cayaponia Tayuya Root Extract
변성알코올19,CD Alcohol 19
뉴저지티추출물,Ceanothus Americanus Extract
케크로피아 옵투사껍질추출물,Cecropia Obtusa Bark Extract
과룸보껍질추출물,Cecropia Obtusifolia Bark Extract
참죽나무잎추출물,Cedrela Sinensis Leaf Extract
참죽나무싹추출물,Cedrela Sinensis Sprout Extract
케드레롭시스 그레베이껍질추출물,Cedrelopsis Grevei Bark Extract
세드롤,Cedrol
아틀라스시다껍질추출물,Cedrus Atlantica Bark Extract
아틀라스시다나무껍질오일,Cedrus Atlantica Bark Oil
아틀라스시다나무껍질수,Cedrus Atlantica Bark Water
아틀라스시다잎추출물,Cedrus Atlantica Leaf Extract
아틀라스시다목부추출물,Cedrus Atlantica Wood Extract
아틀라스시다목부오일,Cedrus Atlantica Wood Oil
개잎갈나무씨추출물,Cedrus Deodara Seed Extract
개잎갈나무씨오일,Cedrus Deodara Seed Oil
개잎갈나무목부추출물,Cedrus Deodara Wood Extract
개잎갈나무목부오일,Cedrus Deodara Wood Oil
레바논향나무껍질추출물,Cedrus Libani Bark Extract
레바논향나무싹추출물,Cedrus Libani Bud Extract
노박덩굴가지/잎추출물,Celastrus Orbiculatus Branch/Leaf Extract
노박덩굴열매추출물,Celastrus Orbiculatus Fruit Extract
셀라스트러스잎/꽃/씨추출물,Celastrus Paniculatus Leaf/Flower/Seed Extract
셀라스트러스씨추출물,Celastrus Paniculatus Seed Extract
셀로바이오스옥타노나노에이트,Cellobiose Octanonanoate
셀룰라아제,Cellulase
셀룰로오스,Cellulose
셀룰로오스아세테이트,Cellulose Acetate
셀룰로오스아세테이트부티레이트,Cellulose Acetate Butyrate
셀룰로오스아세테이트프탈레이트,Cellulose Acetate Phthalate
셀룰로오스아세테이트프로피오네이트,Cellulose Acetate Propionate
셀룰로오스아세테이트프로피오네이트카복실레이트,Cellulose Acetate Propionate Carboxylate
셀룰로오스검,Cellulose Gum
셀룰로오스석시네이트,Cellulose Succinate
맨드라미추출물,Celosia Cristata Extract
맨드라미꽃추출물,Celosia Cristata Flower Extract
수레국화캘러스용해추출물,Centaurea Cyanus Callus Lysate Extract
수레국화꽃,Centaurea Cyanus Flower
수레국화꽃추출물,Centaurea Cyanus Flower Extract
수레국화꽃수,Centaurea Cyanus Flower Water
검은수레국화추출물,Centaurea Nigra Extract
센타우리추출물,Centaurium Erythraea Extract
센타우리꽃추출물,Centaurium Erythraea Flower Extract
병풀캘러스배양액,Centella Asiatica Callus Conditioned Media
병풀캘러스배양물,Centella Asiatica Callus Culture
병풀캘러스세포외소포,Centella Asiatica Callus Extracellular Vesicles
병풀캘러스추출물,Centella Asiatica Callus Extract
병풀추출물,Centella Asiatica Extract
병풀꽃/잎/줄기추출물,Centella Asiatica Flower/Leaf/Stem Extract
병풀잎,Centella Asiatica Leaf
병풀잎세포배양추출물,Centella Asiatica Leaf Cell Culture Extract
병풀잎세포추출물,Centella Asiatica Leaf Cell Extract
병풀잎추출물,Centella Asiatica Leaf Extract
병풀잎수,Centella Asiatica Leaf Water
병풀잎/줄기추출물,Centella Asiatica Leaf/Stem Extract
병풀잎/줄기가루,Centella Asiatica Leaf/Stem Powder
병풀분열조직세포배양물,Centella Asiatica Meristem Cell Culture
병풀분열조직세포배양추출물,Centella Asiatica Meristem Cell Culture Extract
병풀오일,Centella Asiatica Oil
병풀뿌리추출물,Centella Asiatica Root Extract
올드맨위드추출물,Centipeda Cunninghamii Extract
올드맨위드잎/줄기추출물,Centipeda Cunninghamii Leaf/Stem Extract
중대가리풀추출물,Centipeda Minima Extract
세팔린,Cephalins
세라알바,Cera Alba
세라마이드에이지,Ceramide AG
세라마이드에이피,Ceramide AP
세라마이드에이에스,Ceramide AS
세라마이드이오피,Ceramide EOP
세라마이드이오에스,Ceramide EOS
세라마이드엔지,Ceramide NG
세라마이드엔피,Ceramide NP
세라마이드엔피스테아레이트,Ceramide NP Stearate
세라마이드엔에스,Ceramide NS
세라마이드엔에스다이라우레이트,Ceramide NS Dilaurate
비단풀추출물,Ceramium Kondoi Extract
케라뮴 루브룸추출물,Ceramium Rubrum Extract
북극점나도나물캘러스배양추출물,Cerastium Arcticum Callus Culture Extract
케라수스 위오우코우꽃추출물,Cerasus Youkou Flower Extract
케라수스 위오우코우잎추출물,Cerasus Youkou Leaf Extract
케라토네이스 클로스테리움추출물,Ceratoneis Closterium Extract
캐롭열매추출물,Ceratonia Siliqua (Carob) Fruit Extract
캐롭검,Ceratonia Siliqua (Carob) Gum
캐롭잎추출물,Ceratonia Siliqua (Carob) Leaf Extract
캐롭씨추출물,Ceratonia Siliqua (Carob) Seed Extract
중국플럼바고꽃추출물,Ceratostigma Willmottianum Flower Extract
블루펠로우버디나무껍질추출물,Cercidium Floridum Bark Extract
박태기나무꽃/잎/줄기추출물,Cercis Chinensis Flower/Leaf/Stem Extract
세러브로사이드,Cerebrosides
세레신,Ceresin
나이트블루밍세레우스추출물,Cereus Grandiflorus (Cactus) Extract
나이트블루밍세레우스꽃추출물,Cereus Grandiflorus (Cactus) Flower Extract
나이트블루밍세레우스꽃가루,Cereus Grandiflorus (Cactus) Flower Powder
나이트블루밍세레우스씨가루,Cereus Grandiflorus (Cactus) Seed Powder
헤지선인장추출물,Cereus Hildmannianus Extract
낵블룸추출물,Cereus Jamacaru Extract
세리아/실리카,Ceria/Silica
세리아/실리카탈크,Ceria/Silica Talc
케리포리아 라케라타발효여과물,Ceriporia Lacerata Ferment Filtrate
케리포리아 라케라타균사체,Ceriporia Lacerata Mycelium
세륨옥사이드,Cerium Oxide
시로틱애씨드,Cerotic Acid
세로틸다이메티콘,Cerotyl Dimethicone
비터그린스잎추출물,Cestrum Latifolium Leaf Extract
야래향가지/꽃/잎수,Cestrum Nocturnum Branch/Flower/Leaf Water
세탈코늄클로라이드,Cetalkonium Chloride
세타미도라이신아미도폴리아스파틱애씨드,Cetamido Lysinamido Polyaspartic Acid
세탈코늄브로마이드,Cetearalkonium Bromide
세테아라미도에틸디에토늄하이드롤라이즈드쌀단백질,Cetearamidoethyl Diethonium Hydrolyzed Rice Protein
세테아라미도에틸다이에토늄석시노일하이드롤라이즈드완두 콩단백질,Cetearamidoethyldiethonium Succinoyl Hydrolyzed Pea Protein
세테아디모늄클로라이드,Ceteardimonium Chloride
세테아레스-10,Ceteareth-10
세테아레스-10포스페이트,Ceteareth-10 Phosphate
세테아레스-100,Ceteareth-100
세테아레스-11,Ceteareth-11
세테아레스-12,Ceteareth-12
세테아레스-13,Ceteareth-13
세테아레스-14,Ceteareth-14
세테아레스-15,Ceteareth-15
세테아레스-16,Ceteareth-16
세테아레스-17,Ceteareth-17
세테아레스-18,Ceteareth-18
세테아레스-2,Ceteareth-2
세테아레스-2포스페이트,Ceteareth-2 Phosphate
세테아레스-20,Ceteareth-20
세테아레스-22,Ceteareth-22
세테아레스-23,Ceteareth-23
세테아레스-24,Ceteareth-24
세테아레스-25,Ceteareth-25
세테아레스-25카복실릭애씨드,Ceteareth-25 Carboxylic Acid
세테아레스-27,Ceteareth-27
세테아레스-28,Ceteareth-28
세테아레스-29,Ceteareth-29
세테아레스-3,Ceteareth-3
세테아레스-30,Ceteareth-30
세테아레스-33,Ceteareth-33
세테아레스-34,Ceteareth-34
세테아레스-4,Ceteareth-4
세테아레스-4포스페이트,Ceteareth-4 Phosphate
세테아레스-40,Ceteareth-40
세테아레스-5,Ceteareth-5
세테아레스-5포스페이트,Ceteareth-5 Phosphate
세테아레스-50,Ceteareth-50
세테아레스-55,Ceteareth-55
세테아레스-6,Ceteareth-6
세테아레스-6올리베이트,Ceteareth-6 Olivate
세테아레스-60,Ceteareth-60
세테아레스-60미리스틸글라이콜,Ceteareth-60 Myristyl Glycol
세테아레스-7,Ceteareth-7
세테아레스-7스테아레이트,Ceteareth-7 Stearate
세테아레스-8,Ceteareth-8
세테아레스-80,Ceteareth-80
세테아레스-9,Ceteareth-9
세테아트라이모늄클로라이드,Ceteartrimonium Chloride
세테아릴알코올,Cetearyl Alcohol
세테아릴베헤네이트,Cetearyl Behenate
세테아릴칸델릴레이트,Cetearyl Candelillate
세테아릴다이메티콘,Cetearyl Dimethicone
세테아릴다이메티콘크로스폴리머,Cetearyl Dimethicone Crosspolymer
세테아릴다이메티콘/비닐다이메티콘크로스폴리머,Cetearyl Dimethicone/Vinyl Dimethicone Crosspolymer
세테아릴에틸헥사노에이트,Cetearyl Ethylhexanoate
세테아릴에틸헥실다이모늄메토설페이트,Cetearyl Ethylhexyldimonium Methosulfate
세테아릴글루코사이드,Cetearyl Glucoside
세테아릴아이소노나노에이트,Cetearyl Isononanoate
세테아릴메티콘,Cetearyl Methicone
세테아릴노나노에이트,Cetearyl Nonanoate
세테아릴올리베이트,Cetearyl Olivate
세테아릴팔메이트,Cetearyl Palmate
세테아릴팔미테이트,Cetearyl Palmitate
세테아릴포스페이트,Cetearyl Phosphate
세테아릴스테아레이트,Cetearyl Stearate
세테아릴밀겨글라이코사이드,Cetearyl Wheat Bran Glycosides
세테아릴밀짚글라이코사이드,Cetearyl Wheat Straw Glycosides
세테스-1,Ceteth-1
세테스-10,Ceteth-10
세테스-10포스페이트,Ceteth-10 Phosphate
세테스-10스테아레이트,Ceteth-10 Stearate
세테스-12,Ceteth-12
세테스-13,Ceteth-13
세테스-14,Ceteth-14
세테스-15,Ceteth-15
세테스-150,Ceteth-150
세테스-16,Ceteth-16
세테스-17,Ceteth-17
세테스-18,Ceteth-18
세테스-2,Ceteth-2
세테스-20,Ceteth-20
세테스-20포스페이트,Ceteth-20 Phosphate
세테스-23,Ceteth-23
세테스-24,Ceteth-24
세테스-25,Ceteth-25
세테스-3,Ceteth-3
세테스-3스테아레이트,Ceteth-3 Stearate
세테스-30,Ceteth-30
세테스-4,Ceteth-4
세테스-4스테아레이트,Ceteth-4 Stearate
세테스-40,Ceteth-40
세테스-45,Ceteth-45
세테스-5,Ceteth-5
세테스-5스테아레이트,Ceteth-5 Stearate
세테스-6,Ceteth-6
세테스-7,Ceteth-7
세테스-7스테아레이트,Ceteth-7 Stearate
세테스-8포스페이트,Ceteth-8 Phosphate
세테스-9스테아레이트,Ceteth-9 Stearate
세테틸모폴리늄에토설페이트,Cetethyl Morpholinium Ethosulfate
세테칠다이모늄브로마이드,Cetethyldimonium Bromide
세톨레스-10,Cetoleth-10
세톨레스-11,Cetoleth-11
세톨레스-15,Cetoleth-15
세톨레스-20,Cetoleth-20
세톨레스-22,Cetoleth-22
세톨레스-24,Cetoleth-24
세톨레스-25,Cetoleth-25
세톨레스-30,Cetoleth-30
세톨레스-5,Cetoleth-5
세톨레스-6,Cetoleth-6
아이슬란드이끼추출물,Cetraria Islandica Extract
아이슬란드이끼엽상체추출물,Cetraria Islandica Thallus Extract
세트리모늄브로마이드,Cetrimonium Bromide
세트리모늄카복시데실피이지-8다이메티콘,Cetrimonium Carboxydecyl PEG-8 Dimethicone
세트리모늄클로라이드,Cetrimonium Chloride
세트리모늄다이메티콘피이지-7프탈레이트,Cetrimonium Dimethicone PEG-7 Phthalate
세트리모늄다이메티콘피이지-8올리베이트/석시네이트,Cetrimonium Dimethicone PEG-8 Olivate/Succinate
세트리모늄라우레스-12석시네이트,Cetrimonium Laureth-12 Succinate
세트리모늄메토설페이트,Cetrimonium Methosulfate
세트리모늄사카리네이트,Cetrimonium Saccharinate
세트리모늄토실레이트,Cetrimonium Tosylate
세틸아세테이트,Cetyl Acetate
세틸아세틸리시놀리에이트,Cetyl Acetyl Ricinoleate
세틸알코올,Cetyl Alcohol
세틸아모다이메티콘,Cetyl Amodimethicone
세틸바바수에이트,Cetyl Babassuate
세틸베헤네이트,Cetyl Behenate
세틸베헤닐다이메티콘,Cetyl Behenyl Dimethicone
세틸베타이네이트클로라이드,Cetyl Betainate Chloride
세틸베타인,Cetyl Betaine
세틸C12-15파레스-8카복실레이트,Cetyl C12-15 Pareth-8 Carboxylate
세틸C12-15-파레스-9카복실레이트,Cetyl C12-15-Pareth-9 Carboxylate
세틸카프레이트,Cetyl Caprate
세틸카프릴레이트,Cetyl Caprylate
세틸다이글리세릴트리스(트라이메틸실록시)실릴에틸다이메티 콘,Cetyl Diglyceryl Tris(Trimethylsiloxy)silylethyl Dimethicone
세틸다이메티콘,Cetyl Dimethicone
세틸다이메티콘피이지-7아세테이트,Cetyl Dimethicone PEG-7 Acetate
세틸다이메티콘/비스-비닐다이메티콘크로스폴리머,Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer
세틸다이메틸부틸에터,Cetyl Dimethylbutyl Ether
세틸다이메틸옥타노에이트,Cetyl Dimethyloctanoate
세틸에스터,Cetyl Esters
세틸에틸다이모늄에토설페이트,Cetyl Ethyldimonium Ethosulfate
세틸에틸헥사노에이트,Cetyl Ethylhexanoate
세틸글리세릴에터,Cetyl Glyceryl Ether
세틸글리세릴에터/글리세린코폴리머,Cetyl Glyceryl Ether/Glycerin Copolymer
세틸글라이콜,Cetyl Glycol
세틸글라이콜아이소스테아레이트,Cetyl Glycol Isostearate
세틸헥사코실다이메티콘,Cetyl Hexacosyl Dimethicone
세틸헥사코실다이메티콘/비스-비닐다이메티콘크로스폴리머,Cetyl Hexacosyl Dimethicone/Bis-Vinyldimethicone Crosspolymer
세틸하이드록시에틸셀룰로오스,Cetyl Hydroxyethylcellulose
세틸아이소노나노에이트,Cetyl Isononanoate
세틸락테이트,Cetyl Lactate
세틸라우레이트,Cetyl Laurate
세틸미리스테이트,Cetyl Myristate
세틸미리스톨리에이트,Cetyl Myristoleate
세틸니코티네이트리보사이드클로라이드,Cetyl Nicotinate Riboside Chloride
세틸올리에이트,Cetyl Oleate
세틸팔미테이트,Cetyl Palmitate
세틸팔미톨리에이트,Cetyl Palmitoleate
세틸피씨에이,Cetyl PCA
세틸피이지/피피지-10/1다이메티콘,Cetyl PEG/PPG-10/1 Dimethicone
세틸피이지/피피지-15/15부틸에터다이메티콘,Cetyl PEG/PPG-15/15 Butyl Ether Dimethicone
세틸피이지/피피지-7/3다이메티콘,Cetyl PEG/PPG-7/3 Dimethicone
세틸피이지-8다이메티콘,Cetyl PEG-8 Dimethicone
세틸포스페이트,Cetyl Phosphate
세틸피피지-2아이소데세스-7카복실레이트,Cetyl PPG-2 Isodeceth-7 Carboxylate
세틸피롤리도닐메틸다이모늄클로라이드,Cetyl Pyrrolidonylmethyl Dimonium Chloride
세틸리시놀레이트,Cetyl Ricinoleate
세틸리시놀리에이트벤조에이트,Cetyl Ricinoleate Benzoate
세틸스테아레이트,Cetyl Stearate
세틸트라넥사메이트에이치씨엘,Cetyl Tranexamate HCl
세틸트라이에틸모늄다이메티콘피이지-8프탈레이트,Cetyl Triethylmonium Dimethicone PEG-8 Phthalate
세틸트라이에틸모늄다이메티콘피이지-8석시네이트,Cetyl Triethylmonium Dimethicone PEG-8 Succinate
세틸/라우릴/미리스틸하이드록시설테인,Cetyl/Lauryl/Myristyl Hydroxysultaine
세틸아라키돌,Cetylarachidol
세틸다이메틸실록시트라이메틸실록시실리케이트,Cetyldimethylsiloxy Trimethylsiloxysilicate
세틸하이드록시프롤린팔미타마이드,Cetylhydroxyproline Palmitamide
세틸옥시다이메티콘,Cetyloxy Dimethicone
세틸옥시프로필글리세릴메톡시프로필미리스타마이드,Cetyloxypropyl Glyceryl Methoxypropyl Myristamide
세틸-피지하이드록시에틸데케인아마이드,Cetyl-PG Hydroxyethyl Decanamide
세틸-피지하이드록시에틸팔미타마이드,Cetyl-PG Hydroxyethyl Palmitamide
세틸피리디늄클로라이드,Cetylpyridinium Chloride
풀명자씨추출물,Chaenomeles Japonica Seed Extract
모과나무캘러스배양추출물,Chaenomeles Sinensis Callus Culture Extract
모과추출물,Chaenomeles Sinensis Fruit Extract
카이토케로스 콘스트릭투스/데빌리스/데키피엔스/라키니오수 스/소키알리스추출물,Chaetoceros Constrictus/Debilis/Decipiens/Laciniosus/Socialis Extract
캐토모르파 솔리타리아캘러스배양추출물,Chaetomorpha Solitaria Callus Culture Extract
초크,Chalk
차풀추출물,Chamaecrista nomame extract
라우손사이프레스목부오일,Chamaecyparis Lawsoniana Wood Oil
편백가지/잎추출물,Chamaecyparis Obtusa Branch/Leaf Extract
편백잎추출물,Chamaecyparis Obtusa Leaf Extract
편백오일,Chamaecyparis Obtusa Oil
편백가루,Chamaecyparis Obtusa Powder
편백수,Chamaecyparis Obtusa Water
편백목부오일,Chamaecyparis Obtusa Wood Oil
캠아줄렌,Chamazulene
마트리카리아분열조직세포배양추출물,Chamomilla Recutita (Chamomille) Meristem Cell Culture Extract
마트리카리아추출물,Chamomilla Recutita (Matricaria) Extract
마트리카리아꽃,Chamomilla Recutita (Matricaria) Flower
마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract
마트리카리아꽃즙,Chamomilla Recutita (Matricaria) Flower Juice
마트리카리아꽃오일,Chamomilla Recutita (Matricaria) Flower Oil
마트리카리아꽃가루,Chamomilla Recutita (Matricaria) Flower Powder
마트리카리아꽃수,Chamomilla Recutita (Matricaria) Flower Water
마트리카리아꽃/커먼자스민 꽃추출물,Chamomilla Recutita (Matricaria) Flower/Jasminum Officinale (Jasmine) Flower Extract
마트리카리아꽃/라벤더꽃/레몬밤잎/로즈마리잎/살비아잎추출 물,"Chamomilla Recutita (Matricaria) Flower/Lavandula
Angustifolia (Lavender) Flower/Melissa Officinalis Leaf/Rosmarinus Officinalis (Rosemary) Leaf/Salvia
Officinalis (Sage) Leaf Extract"
마트리카리아꽃/잎추출물,Chamomilla Recutita (Matricaria) Flower/Leaf Extract
마트리카리아꽃/잎/줄기추출물,Chamomilla Recutita (Matricaria) Flower/Leaf/Stem Extract
마트리카리아꽃/잎/줄기수,Chamomilla Recutita (Matricaria) Flower/Leaf/Stem Water
마트리카리아잎추출물,Chamomilla Recutita (Matricaria) Leaf Extract
마트리카리아오일,Chamomilla Recutita (Matricaria) Oil
마트리카리아/로즈마리/살비아/타임추출물,Chamomilla Recutita/Rosmarinus Officinalis/Salvia Officinalis/Thymus Vulgaris Extract
카모밀라 불가리스추출물,Chamomilla Vulgaris Extract
카모밀라 불가리스꽃,Chamomilla Vulgaris Flower
숯추출물,Charcoal Extract
숯가루,Charcoal Powder
켈리도닌,Chelidonine
애기똥풀추출물,Chelidonium Majus Extract
흰명아주꽃추출물,Chenopodium Album Flower Extract
양명아주잎추출물,Chenopodium Ambrosioides Leaf Extract
양명아주잎/줄기추출물,Chenopodium Ambrosioides Leaf/Stem Extract
케노포디움 포르모사눔그레인추출물,Chenopodium Formosanum Grain Extract
카니후아씨추출물,Chenopodium Pallidicaule Seed Extract
퀴노아추출물,Chenopodium Quinoa Extract
퀴노아꽃/잎추출물,Chenopodium Quinoa Flower/Leaf Extract
퀴노아겉껍질추출물,Chenopodium Quinoa Husk Extract
퀴노아겉껍질가루,Chenopodium Quinoa Husk Powder
퀴노아씨,Chenopodium Quinoa Seed
퀴노아씨추출물,Chenopodium Quinoa Seed Extract
퀴노아씨오일,Chenopodium Quinoa Seed Oil
퀴노아씨드케이크추출물,Chenopodium Quinoa Seedcake Extract
적색야계배아섬유아세포배양액,Chicken Embryonic Fibroblast Conditioned Media
적색야계신경세포배양액,Chicken Neural Cell Conditioned Media
큰매화노루발잎추출물,Chimaphila Umbellata Leaf Extract
키밀알코올,Chimyl Alcohol
키밀아이소스테아레이트,Chimyl Isostearate
키밀스테아레이트,Chimyl Stearate
키틴,Chitin
키틴글라이콜레이트,Chitin Glycolate
키토산,Chitosan
키토산아디페이트,Chitosan Adipate
키토산아스코베이트,Chitosan Ascorbate
키토산포메이트,Chitosan Formate
키토산글라이콜레이트,Chitosan Glycolate
키토산하드록시프로필트라이모늄클로라이드,Chitosan Hydroxypropyltrimonium Chloride
키토산아이소스테아라마이드하이드록시프로필트라이모늄클 로라이드,Chitosan Isostearamide Hydroxypropyltrimonium Chloride
키토산락테이트,Chitosan Lactate
키토산라우로일글라이시네이트,Chitosan Lauroyl Glycinate
키토산피씨에이,Chitosan PCA
키토산프로필설포네이트,Chitosan Propylsulfonate
키토산살리실레이트,Chitosan Salicylate
키토산석신아마이드,Chitosan Succinamide
클라미도캅사추출물,Chlamydocapsa Extract
클라미도모나스추출물,Chlamydomonas Extract
클라미도모나스 헤들레이이추출물,Chlamydomonas Hedleyi Extract
클라미도모나스 레인하르드티이추출물,Chlamydomonas Reinhardtii Extract
클로라민T,Chloramine T
죽절초추출물,Chloranthus Glaber Extract
홀아비꽃대추출물,Chloranthus Japonicus Extract
꽃대추출물,Chloranthus Serratus Extract
클로렐라 엘립소이데아추출물,Chlorella Ellipsoidea Extract
클로렐라 에메르소니이추출물,Chlorella Emersonii Extract
클로렐라발효물,Chlorella Ferment
클로렐라 미누티시마추출물,Chlorella Minutissima Extract
클로렐라 미누티시마오일,Chlorella Minutissima Oil
클로렐라 미누티시마/소듐글루타메이트발효추출여과물,Chlorella Minutissima/Sodium Glutamate Ferment Extract Filtrate
클로렐라 프로토테코이데스,Chlorella Protothecoides
클로렐라 프로토테코이데스추출물,Chlorella Protothecoides Extract
클로렐라 프로토테코이데스오일,Chlorella Protothecoides Oil
클로렐라 피레노이도사추출물,Chlorella Pyrenoidosa Extract
클로렐라 피레노이도사/소로키니아나추출물,Chlorella Pyrenoidosa/Sorokiniana Extract
클로렐라 소로키니아나추출물,Chlorella Sorokiniana Extract
클로렐라 와리아빌리스추출물,Chlorella Variabilis Extract
클로렐라 불가리스캘러스배양추출물,Chlorella Vulgaris Callus Culture Extract
클로렐라 불가리스추출물,Chlorella Vulgaris Extract
클로렐라 불가리스메티오닐에스에이치-폴리펩타이드-14헥사 펩타이드-40,Chlorella Vulgaris Methionyl sh-Polypeptide-14 Hexapeptide-40
클로렐라 불가리스오일,Chlorella Vulgaris Oil
클로렐라 불가리스가루,Chlorella Vulgaris Powder
클로렐라 불가리스/화이트루핀단백질발효물,Chlorella Vulgaris/Lupinus Albus Protein Ferment
클로헥시딘,Chlorhexidine
클로헥시딘다이아세테이트,Chlorhexidine Diacetate
클로헥시딘다이글루코네이트,Chlorhexidine Digluconate
클로헥시딘다이하이드로클로라이드,Chlorhexidine Dihydrochloride
클로리네이티드파라핀,Chlorinated Paraffin
클로린다이옥사이드,Chlorine Dioxide
클로로부탄올,Chlorobutanol
클로로신남알,Chlorocinnamal
클로로제닉애씨드,Chlorogenic Acids
클로로글로에옵시스 프리트스키이추출물,Chlorogloeopsis Fritschii Extract
클로로펜,Chlorophene
퍼스틱트리목부추출물,Chlorophora Tinctoria Wood Extract
클로로필린-카퍼컴플렉스,Chlorophyllin-Copper Complex
클로로필린-아이런컴플렉스,Chlorophyllin-Iron Complex
클로로필,Chlorophylls
클로로티몰,Chlorothymol
클로로트라이플루오로프로펜,Chlorotrifluoropropene
클로로자일레놀,Chloroxylenol
클로페네신,Chlorphenesin
코이로스폰디아스 악실라리스잎추출물,Choerospondias Axillaris Leaf Extract
콜레스테롤,Cholesterol
콜레스테롤/에이치디아이/풀루란코폴리머,Cholesterol/HDI/Pullulan Copolymer
콜레스테릴아세테이트,Cholesteryl Acetate
콜레스테릴부티레이트,Cholesteryl Butyrate
콜레스테릴C16-18알케닐석시네이트,Cholesteryl C16-18 Alkenyl Succinate
콜레스테릴클로라이드,Cholesteryl Chloride
콜레스테릴다이클로로벤조에이트,Cholesteryl Dichlorobenzoate
콜레스테릴글루코사이드,Cholesteryl Glucoside
콜레스테릴헥실다이카바메이트풀루란,Cholesteryl Hexyl Dicarbamate Pullulan
콜레스테릴하이드록시스테아레이트,Cholesteryl Hydroxystearate
콜레스테릴아이소스테아레이트,Cholesteryl Isostearate
콜레스테릴아이소스테아릴카보네이트,Cholesteryl Isostearyl Carbonate
콜레스테릴라놀레이트,Cholesteryl Lanolate
콜레스테릴마카다미에이트,Cholesteryl Macadamiate
콜레스테릴노나노에이트,Cholesteryl Nonanoate
콜레스테릴올리에이트,Cholesteryl Oleate
콜레스테릴올레일카보네이트,Cholesteryl Oleyl Carbonate
콜레스테릴스테아레이트,Cholesteryl Stearate
콜레스테릴석시네이트,Cholesteryl Succinate
콜레스테릴/베헤닐/옥틸도데실라우로일글루타메이트,Cholesteryl/Behenyl/Octyldodecyl Lauroyl Glutamate
콜레스테릴/옥틸도데실라우로일글루타메이트,Cholesteryl/Octyldodecyl Lauroyl Glutamate
콜레스-10,Choleth-10
콜레스-15,Choleth-15
콜레스-20,Choleth-20
콜레스-24,Choleth-24
콜레스-30,Choleth-30
콜레스-5,Choleth-5
돌가사리추출물,Chondracanthus Tenellus Extract
돌가사리/사카리나 앙구스타타/잎파래추출물,Chondracanthus Tenellus/Saccharina Angustata/Ulva Linza Extract
개서실추출물,Chondria Crassicaulis Extract
아이리쉬모스,Chondrus Crispus
아이리쉬모스추출물,Chondrus Crispus Extract
아이리쉬모스가루,Chondrus Crispus Powder
콘드러스 엘라투스추출물,Chondrus Elatus Extract
콘드러스 엘라투스/사카리나 앙구스타타/참홑파래엽상체추출 물,Chondrus Elatus/Saccharina Angustata/Monostroma Nitidum Thallus Extract
진두발추출물,Chondrus Ocellatus Extract
코네모르파 마크로필라뿌리추출물,Chonemorpha Macrophylla Root Extract
크로뮴하이드록사이드그린,Chromium Hydroxide Green
크로뮴옥사이드그린,Chromium Oxide Greens
크리스마스부쉬잎추출물,Chromolaena Odorata Leaf Extract
크로물리나 오크로모노이데스추출물,Chromulina Ochromonoides Extract
황야자잎추출물,Chrysalidocarpus Lutescens Leaf Extract
크리산텔룸 아메리카눔추출물,Chrysanthellum Americanum Extract
크리산텔룸 인디쿰추출물,Chrysanthellum Indicum Extract
크리산텔룸 인디쿰꽃수,Chrysanthellum Indicum Flower Water
코스트마리잎추출물,Chrysanthemum Balsamita Leaf Extract
