No,INCI,???,???,CAS No.,?? ??
4615,PHYLLOSTACHYS NIGRA LEAF EXTRACT,??????,??ŸT£®PHYLLOSTACHYS NIGRA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4616,PHYLLOSTACHYS NIGRA JUICE,,??ŸT£®PHYLLOSTACHYS NIGRA£©¡“,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4617,GOUANIA JAVANICA EXTRACT,,???£®GOUANIA JAVANICA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4618,PAULOWNIA TOMENTOSA LEAF EXTRACT,,??¿^£®PAULOWNIA TOMENTOSA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4619,VERBASCUM THAPSUS EXTRACT,?????,???£®VERBASCUM THAPSUS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4620,MAURITIA FLEXUOSA FRUIT OIL,????????,??Ÿ∏£®MAURITIA FLEXUOSA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4621,MAURITIA FLEXUOSA FLOWER/SEED EXTRACT,?????/????,??Ÿ∏£®MAURITIA FLEXUOSA£©?/¿„≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4622,PHYSALIS PUBESCENS FRUIT JUICE,,?îH?£®PHYSALIS PUBESCENS£©?¡“,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4623,LINDERA LATIFOLIA EXTRACT,,?∏F?£®LINDERA LATIFOLIA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4624,ANONA CHERIMOLIA FRUIT EXTRACT,?????????,?∂j±«?›Ç£®ANNONA CHERIMOLIA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4625,EMMEISOU EKISU,,?∂j∏F??£®ISODONE JAPONICUS;I.TRICHOCARPUS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4626,CORYLUS MENDSHURICA EXTRACT,,?»›£®CORYLUS MENDSHURICA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4627,ATRACTYLOIDES LANCEA ROOT EXTRACT,???????,??úp£®ATRACTYLOIDES LANCEA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4628,MELOTHRIA HETEROPHYLLA ROOT EXTRACT,??????????,??£®MELOTHRIA HETEROPHYLLA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4629,RUBUS PARVIFOLIUS FRUIT EXTRACT,???????,??£®RUBUS PARVIFOLIUS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4630,HIEROCHLOE ODORATA EXTRACT,?????,?∏F£®HIEROCHLOE ODORATA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4631,COMMIPHORA MYRRHA RESIN,????,??£®COMMIPHORA MYRRHA£©·‰£,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4632,COMMIPHORA MYRRHA RESIN WATER,,??£®COMMIPHORA MYRRHA£©·‰£èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4633,COMMIPHORA MYRRHA RESIN EXTRACT,???????,??£®COMMIPHORA MYRRHA£©·‰£≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4634,COMMIPHORA MYRRHA EXTRACT,,??£®COMMIPHORA MYRRHA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4635,COMMIPHORA MYRRHA LEAF CELL EXTRACT,????????,??£®COMMIPHORA MYRRHA£©∂jæ¡?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4636,COMMIPHORA MYRRHA OIL,????,??£®COMMIPHORA MYRRHA£©¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4637,ROSA RUGOSA£®ROSE) FLOWER,,??£®ROSA RUGOSA£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4638,ROSA RUGOSA BUD POWDER,,??£®ROSA RUGOSA£©??≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4639,ROSA RUGOSA FLOWER WATER,,??£®ROSA RUGOSA£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4640,ROSA RUGOSA FLOWER EXTRACT,??????,??£®ROSA RUGOSA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4641,ROSA RUGOSA FLOWER OIL,,??£®ROSA RUGOSA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4642,ROSA RUGOSA LEAF EXTRACT,,??£®ROSA RUGOSA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4643,CYMBOPOGON MARTINI OIL,??????,???£®CYMBOPOGON MARTINI£©¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4644,SEDUM ROSEA ROOT EXTRACT,???????,????«o£®SEDUM ROSEA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4645,ROSA RUGOSA FLOWER EXTRACT,??????,??£®ROSA RUGOSA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4646,ROSE PETAL,,????,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4647,ROSE POLLEN,,????,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4648,ANIBA ROSAEODORA (ROSEWOOD) WOOD EXTRACT,???????,???£®ANIBA ROSAEODORA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4649,ANIBA ROSAEODORA (ROSEWOOD) WOOD OIL,"????????, ?????? (RIFM)",???£®ANIBA ROSAEODORA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4650,HIBISCUS SABDARIFFA FLOWER EXTRACT,????????,???£®HIBISCUS SABDARIFFA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4651,HIBISCUS SABDARIFFA EXTRACT,,???£®HIBISCUS SABDARIFFA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4652,EPILOBIUM ROSEUM EXTRACT,,???∂j?£®EPILOBIUM ROSEUM£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4653,PRUNUS MUME EXTRACT,,?£®PRUNUS MUME£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4654,PRUNUS MUME FRUIT,??,?£®PRUNUS MUME£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4655,PRUNUS MUME FRUIT WATER,???,?£®PRUNUS MUME£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4656,PRUNUS MUME FRUIT EXTRACT,?????,?£®PRUNUS MUME£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4657,PRUNUS MUME FLOWER,,?£®PRUNUS MUME£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4658,PRUNUS MUME BUD EXTRACT,,?£®PRUNUS MUME£©??≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4659,PRUNUS MUME FLOWER POWDER,,?£®PRUNUS MUME£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4660,PRUNUS MUME FLOWER WATER,??????,?£®PRUNUS MUME£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4661,PRUNUS MUME FLOWER EXTRACT,????????,?£®PRUNUS MUME£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4662,PRUNUS MUME SEED EXTRACT,????????,?£®PRUNUS MUME£©¿„≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4663,MONARDA DIDYMA LEAF EXTRACT,????????,????£®MONARDA DIDYMA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4664,CARYA ILLINOENSIS (PECAN) SHELL POWDER,,??™Ω?∏˝£®CARYA ILLINOENSIS£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4665,CARYA ILLINOENSIS (PECAN) SHELL EXTRACT,???????,??™Ω?∏˝£®CARYA ILLINOENSIS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4666,CARYA ILLINOENSIS (PECAN) SEED OIL,????,??™Ω?∏˝£®CARYA ILLINOENSIS£©¿„¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4667,ORBIGNYA SPECIOSA KERNEL OIL,???? ?????????,?????á¿Â£®ORBIGNYA SPECIOSA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4668,ACACIA CONCINNA FRUIT POWDER,????????,?????£®ACACIA CONCINNA£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4669,ACACIA CONCINNA FRUIT EXTRACT,?????????,?????£®ACACIA CONCINNA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4670,AHNFELTIA CONCINNA EXTRACT,???? ??????,??≈≠??£®AHNFELTIA CONCINNA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4671,MEROXAPOL 105,,??™≥? 105,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4672,ACTINIDIA DELICIOSA FRUIT,,?≠è ‚?∏˝£®ACTINIDIA DELICIOSA£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4673,RUBUS DELICIOSUS (BOYSENBERRY) FRUIT JUICE,????????????,?≠èºº?æc£®RUBUS DELICIOSUS£©?¡“,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4674,POLYGALA SENEGA ROOT EXTRACT,????????,?Ã’¡Á£®POLYGALA SENEGA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4675,PERIPLANETA AMERICANA EXTRACT,,?¬µ?Âe£®PERIPLANETA AMERICANA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4676,SAMBUCUS CANADENSIS EXTRACT,????????,?¬µ???£®SAMBUCUS CANADENSIS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4677,CAMPSIS RADICANS EXTRACT,,?¬µ?ôô?£®CAMPSIS RADICANS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4678,CAMPSIS RADICANS FLOWER EXTRACT,,?¬µ?ôô£®CAMPSIS RADICANS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4679,CORYLUS AMERICANA (HAZEL) SEED OIL,,?¬µ»›£®CORYLUS AMERICANA£©¿„¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4680,ASTRAGALUS MEMBRANACEUS MONGHOLICUS EXTRACT,,???ÒŸ£®ASTRAGALUS MEMBRANACEUS MONGHOLICUS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4681,MONTMORILLONITE,???????,?Âd∞w,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4682,MANGANESE VIOLET,,?ÑC,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4683,MENTHANEDIOL,,???,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4684,IMIDAZOLE,????,…´í›,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4685,IMIDAZOLIDINYL UREA,??????????,…´í›π«?“Ù,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4686,ROSMARINUS OFFICINALIS (ROSEMARY) FLOWER/LEAF/STEM EXTRACT,?????/?/?????,??∏F£®ROSMARINUS OFFICINALIS£©?/∂j/?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4687,ROSMARINUS OFFICINALIS (ROSEMARY) FLOWER WAX,,??∏F£®ROSMARINUS OFFICINALIS£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4688,ROSMARINUS OFFICINALIS (ROSEMARY) FLOWER EXTRACT,????????,??∏F£®ROSMARINUS OFFICINALIS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4689,ROSMARINUS OFFICINALIS WATER,,??∏F£®ROSMARINUS OFFICINALIS£©èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4690,ROSMARINUS OFFICINALIS EXTRACT,,??∏F£®ROSMARINUS OFFICINALIS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4691,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF,?????,??∏F£®ROSMARINUS OFFICINALIS£©∂j,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4692,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF POWDER,???????,??∏F£®ROSMARINUS OFFICINALIS£©∂j?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4693,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF WATER,??????,??∏F£®ROSMARINUS OFFICINALIS£©∂jèô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4694,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT,????????,??∏F£®ROSMARINUS OFFICINALIS£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4695,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL,???????,??∏F£®ROSMARINUS OFFICINALIS£©∂j¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4696,ROSMARINIC ACID,????????,??∏FîH,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4697,MUCOR MIEHEI EXTRACT,????? ???????,????£®MUCOR MIEHEI£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4698,RICE BRAN ACID,,??îH,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4699,AGLAIA ODORATA FLOWER OIL,????? ???????,?¡Ë?£®AGLAIA ODORATA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4700,AMIDINOPROLINE,,Î[???îH,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4701,KRAMERIA TRIANDRA ROOT EXTRACT,????????,???◊l?£®KRAMERIA TRIANDRA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4702,MYROXYLON PEREIRAE (BALSAM PERU) OIL,????????? (RIFM),??∏F·£®MYROXYLON PEREIRAE£©¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4703,MYROTHAMNUS FLABELLIFOLIA LEAF/STEM EXTRACT,,???£®MYROTHAMNUS FLABELLIFOLIA£©∂j/?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4704,MYROTHAMNUS FLABELLIFOLIA LEAF EXTRACT,????? ???????????,???£®MYROTHAMNUS FLABELLIFOLIA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4705,BUDDLEJA OFFICINALIS LEAF EXTRACT,???? ??????????,???£®BUDDLEJA OFFICINALIS£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4706,MELIBIOSE,??????,??Ê`,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4707,BUDDLEJA OFFICINALIS EXTRACT,,???£®BUDDLEJA OFFICINALIS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4708,MELICOPE HAYESII LEAF EXTRACT,,?≈Óä^£®MELICOPE HAYESII£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4709,POLYSIPHONIA LANOSA EXTRACT,?????? ??????,????«W£®POLYSIPHONIA LANOSA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4710,RAFFINOSE,?????,?æcÊ`,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4711,RAFFINOSE OLEATE,,?æcÊ`¥îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4712,COTTONSEED ACID,,?¿„¥îH,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4713,COTTONSEED GLYCERIDE,,?¿„¥îH?¥Ωπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4714,TARAKTOGENOS KURZII SEED OIL,?????????,????æc£®TARAKTOGENOS KURZII£©¿„¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4715,LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE,?????/??????,????/??£®RAPHANUS SATIVUS£©????ƒz?ƒÌ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4716,CHANGIUM SMYRNIOIDES EXTRACT,,???£®CHANGIUM SMYRNIOIDES£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4717,GELATIN,???,??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4718,ASTRAGALUS MEMBRANACEUS ROOT POWDER,??????,???ÒŸ£®ASTRAGALUS MEMBRANACEUS£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4719,ASTRAGALUS MEMBRANACEUS ROOT EXTRACT,?????,???ÒŸ£®ASTRAGALUS MEMBRANACEUS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4720,ASTRAGALUS MEMBRANACEUS EXTRACT,,???ÒŸ£®ASTRAGALUS MEMBRANACEUS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4721,ORMENIS MIXTA FLOWER WATER,?????????,??????£®ORMENIS MIXTA£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4722,MOROCCAN LAVA CLAY,???????,????ÜÀûë∞w,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4723,JASMINUM SAMBAC£®JASMINE) FLOWER,,≤∑??£®JASMINUM SAMBAC£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4724,JASMINUM SAMBAC EXTRACT,,≤∑??£®JASMINUM SAMBAC£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4725,JASMINUM SAMBAC£®JASMINE£©SEED EXTRACT,,≤∑??£®JASMINUM SAMBAC£©¿„≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4726,JASMINUM SAMBAC (JASMINE) FLOWER WAX,??????????,≤∑??£®JASMINUM SAMBAC£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4727,JASMINUM SAMBAC (JASMINE) FLOWER WATER,?????????,≤∑??£®JASMINUM SAMBAC£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4728,JASMINUM SAMBAC (JASMINE) FLOWER EXTRACT,???????????,≤∑??£®JASMINUM SAMBAC£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4729,JASMINUM SAMBAC (JASMINE) OIL,,≤∑??£®JASMINUM SAMBAC£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4730,JASMINUM SAMBAC (JASMINE) LEAF CELL EXTRACT,?????????????,≤∑??£®JASMINUM SAMBAC£©∂jæ¡?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4731,JASMINE PETAL,,≤∑???,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4732,ECLIPTA PROSTRATA EXTRACT,??????,ÌÒ?£®ECLIPTA PROSTRATA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4733,FUCUS VESICULOSUS POWDER,??????,??«W£®FUCUS VESICULOSUS£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4734,FUCUS VESICULOSUS EXTRACT,??????? (RIFM),??«W£®FUCUS VESICULOSUS£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4735,JUNIPERUS MEXICANA OIL,??????????,?ıo???£®JUNIPERUS MEXICANA£©¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4736,FOUQUERIA SPLENDENS STEM EXTRACT,?????????,?ıo???£®FOUQUERIA SPLENDENS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4737,LARREA MEXICANA EXTRACT,,?ıo????£®LARREA MEXICANA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4738,DIOSCOREA MEXICANA ROOT EXTRACT,?????? ?????????,?ıo?ø∞≈¯£®DIOSCOREA MEXICANA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4739,EUGENIA CARYOPHYLLATA EXTRACT,,??∏F£®EUGENIA CARYOPHYLLATA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4740,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER,???????,??£®CHAMOMILLA RECUTITA£©?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4741,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER/LEAF/STEM EXTRACT,,??£®CHAMOMILLA RECUTITA£©?/∂j/?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4742,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER/LEAF EXTRACT,?????????? (EP),??£®CHAMOMILLA RECUTITA£©?/∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4743,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER POWDER,?????????,??£®CHAMOMILLA RECUTITA£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4744,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER WATER,????????,??£®CHAMOMILLA RECUTITA£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4745,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT,??????????,??£®CHAMOMILLA RECUTITA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4746,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL,?????????,??£®CHAMOMILLA RECUTITA£©?¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4747,CHAMOMILLA RECUTITA (MATRICARIA) EXTRACT,?????????,??£®CHAMOMILLA RECUTITA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4748,CHAMOMILLA RECUTITA (MATRICARIA) LEAF EXTRACT,??????????,??£®CHAMOMILLA RECUTITA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4749,CHAMOMILLA RECUTITA (MATRICARIA) OIL,????????,??£®CHAMOMILLA RECUTITA£©¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4750,MATRICARIA CHAMOMILLA EXTRACT,,??£®MATRICARIA CHAMOMILLA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4751,PAEONIA SUFFRUTICOSA ROOT BARK EXTRACT,,??£®PAEONIA SUFFRUTICOSA£©??≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4752,PAEONIA SUFFRUTICOSA ROOT WATER,,??£®PAEONIA SUFFRUTICOSA£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4753,PAEONIA SUFFRUTICOSA ROOT EXTRACT,???????,??£®PAEONIA SUFFRUTICOSA£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4754,PAEONIA SUFFRUTICOSA FLOWER/LEAF/ROOT EXTRACT,,??£®PAEONIA SUFFRUTICOSA£©?/∂j/?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4755,PAEONIA SUFFRUTICOSA FLOWER WATER,????,??£®PAEONIA SUFFRUTICOSA£©?èô,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4756,PAEONIA SUFFRUTICOSA EXTRACT,,??£®PAEONIA SUFFRUTICOSA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4757,PAEONIA SUFFRUTICOSA BRANCH/FLOWER/LEAF EXTRACT,????/?/????,??£®PAEONIA SUFFRUTICOSA£©›Ç/?/∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4758,PAEONIA SUFFRUTICOSA SEED OIL,?????,??£®PAEONIA SUFFRUTICOSA£©¿„¥,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4759,VITEX NEGUNDO CANNABIFOLIA LEAF EXTRACT,,??£®VITEX NEGUNDO CANNABIFOLIA£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4760,OYSTER SHELL POWDER,????,?¢??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4761,OYSTER SHELL EXTRACT,??????,?¢?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4762,OYSTER EXTRACT,????,?¢≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4763,MOMORDICA COCHINCHINENSIS SEED EXTRACT,,??£®MOMORDICA COCHINCHINENSIS£©¿„≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4764,XYLOBIOSE,???????,??Ê`,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4765,HIBISCUS MUTABILIS FLOWER EXTRACT,??????,?∏p?£®HIBISCUS MUTABILIS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4766,HIBISCUS MUTABILIS LEAF EXTRACT,,?∏p?£®HIBISCUS MUTABILIS£©∂j≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4767,CHAENOMELES SINENSIS FRUIT EXTRACT,?????,??£®CHAENOMELES SINENSIS£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4768,CHAENOMELES SPECIOSA EXTRACT,,’ì???£®CHAENOMELES SPECIOSA£©≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4769,PAPAIN,???,?????,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4770,PAPAIN BETA-GLUCAN,?????-???,????? ©µ-??Ê`,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4771,OROXYLUM INDICUM ROOT POWDER,,???£®OROXYLUM INDICUM£©??,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4772,OROXYLUM INDICUM ROOT EXTRACT,,???£®OROXYLUM INDICUM£©?≠Ç?ƒz,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
