三级类目名称,三级类目编码,三级类目产品数,页码,产品编码,产品链接,采集时间
 전체,100000100010008,645,1,A000000144910,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144910&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000104007,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104007&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000146589,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146589&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000158910,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158910&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000147968,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147968&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000154177,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154177&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000137180,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000145576,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145576&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000148729,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148729&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000143827,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143827&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000156512,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156512&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000159783,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159783&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000150945,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150945&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000149558,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149558&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000156326,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156326&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000153291,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153291&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000157691,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157691&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000131689,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000131689&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000147472,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147472&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000153886,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153886&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000154766,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154766&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000138189,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138189&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000157991,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157991&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000016749,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016749&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000157775,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157775&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000137078,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137078&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000156686,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156686&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000113806,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113806&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000129443,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129443&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000106421,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000106421&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000010474,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010474&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000154272,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154272&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000146263,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146263&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000145578,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145578&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000146262,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146262&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000114676,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000114676&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000150815,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150815&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000015971,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000015971&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000154760,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154760&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000156235,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156235&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000154625,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154625&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000147387,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147387&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
